b'"s","o","p" , America , be , Overrun
"http://dbpedia.org/resource/Pope_John_Paul_II","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Ilya_Ilf","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Marvel_Noir","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Nightmare_(Japanese_band)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Sally_the_Witch","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Sandy_Point,_Tristan_da_Cunha","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Spanish_treasure_fleet","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Cornerstone_(agency)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Pardo_(surname)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Chris_Cross_(magician)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Maritime_history","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Plus_ultra_(motto)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/The_Joker_(ride)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Champagne_(1928_film)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Edward_Sims_Van_Zile","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
' , America , be , Overrun
